,open,high,low,close,volume,adjclose,dividend,split
2024-04-07 14:44:32.786311,143.36436068223782,146.24565739195822,141.56981042773057,144.96714153011231,6877809,144.96714153011231,0.0,1.0
2024-04-08 14:44:32.786311,141.32569216902533,144.84730069088243,132.71948763319227,138.75471962565078,7396567,138.75471962565078,0.0,1.0
2024-04-09 14:44:32.786311,143.88792599211376,149.82550987870565,142.148775623427,146.7516106557322,9002619,146.7516106557322,0.0,1.0
2024-04-10 14:44:32.786311,158.5677089539041,165.82095988281603,148.05160547004664,155.64238647616816,5021080,155.64238647616816,0.0,1.0
2024-04-11 14:44:32.786311,135.68236012697508,140.7122020951543,129.04833090491857,138.20791680221717,8667857,138.20791680221717,0.0,1.0
2024-04-12 14:44:32.786311,140.5099583206182,144.58888056556842,133.6666714028224,138.3454436173214,5428690,138.3454436173214,0.0,1.0
2024-04-13 14:44:32.786311,156.78984179209863,161.7464726757835,152.61196330257764,156.61630397924975,6439433,156.61630397924975,0.0,1.0
2024-04-14 14:44:32.786311,151.56677611771846,151.66601034622383,146.92960091224393,148.63588575306756,9889782,148.63588575306756,0.0,1.0
2024-04-15 14:44:32.786311,134.07872042355677,140.92962004089588,131.95555289071555,136.40415723955158,3881777,136.40415723955158,0.0,1.0
2024-04-16 14:44:32.786311,146.97779896188155,148.28616568920987,142.59861707134766,146.6618641721234,3748996,146.6618641721234,0.0,1.0
2024-04-17 14:44:32.786311,139.3063362592591,146.00049549996874,131.7732549582748,136.73944944550175,1195246,136.73944944550175,0.0,1.0
2024-04-18 14:44:32.786311,136.98013248487868,137.9983244920379,136.83401533687373,136.85369147528644,4696176,136.85369147528644,0.0,1.0
2024-04-19 14:44:32.786311,144.81366235127638,147.8158242440813,139.93452949205906,144.067974364012,9899691,144.067974364012,0.0,1.0
2024-04-20 14:44:32.786311,123.61327770684255,124.14079531796217,119.28846289220137,122.6529118391363,2012384,122.6529118391363,0.0,1.0
2024-04-21 14:44:32.786311,124.44719689068607,130.8881085674239,119.24296334074407,124.6738985979466,9143478,124.6738985979466,0.0,1.0
2024-04-22 14:44:32.786311,137.13371281800485,140.57710613427483,135.03777999904895,136.43756426802983,1866964,136.43756426802983,0.0,1.0
2024-04-23 14:44:32.786311,132.51490492482725,136.45977437301886,130.04672936827825,132.06949099445796,9437712,132.06949099445796,0.0,1.0
2024-04-24 14:44:32.786311,147.81201895694326,148.3077544343084,139.8096083453744,145.4776381611176,1863663,145.4776381611176,0.0,1.0
2024-04-25 14:44:32.786311,130.96692884683992,138.39423382202236,124.95804203147283,133.39228671731536,6783182,133.39228671731536,0.0,1.0
2024-04-26 14:44:32.786311,127.36111907727329,129.83535855174787,125.32652075558656,128.48685309653717,7980571,128.48685309653717,0.0,1.0
