,open,high,low,close,volume,adjclose,dividend,split
2024-04-07 14:44:32.726873,796.0672908191514,812.0664279466637,786.102591415854,804.9671415301124,6877809,804.9671415301124,0.0,1.0
2024-04-08 14:44:32.726873,813.5547672102575,833.8272410770655,764.0123335575032,798.7547196256509,7396567,798.7547196256509,0.0,1.0
2024-04-09 14:44:32.726873,791.0088041239248,823.6500497123557,781.4480071088786,806.7516106557322,9002619,806.7516106557322,0.0,1.0
2024-04-10 14:44:32.726873,830.9725099789857,868.9830997117131,775.8629737131871,815.6423864761682,5021080,815.6423864761682,0.0,1.0
2024-04-11 14:44:32.726873,783.6217818024703,812.6712007660033,745.3075175557943,798.2079168022171,8667857,798.2079168022171,0.0,1.0
2024-04-12 14:44:32.726873,810.8361365222473,834.3742372647109,771.3458086347573,798.3454436173214,5428690,798.3454436173214,0.0,1.0
2024-04-13 14:44:32.726873,817.5211510719768,843.3656224940607,795.7371885859314,816.6163039792497,6439433,816.6163039792497,0.0,1.0
2024-04-14 14:44:32.726873,824.5810467352679,825.1209187712699,799.3530456999011,808.6358857530676,9889782,808.6358857530676,0.0,1.0
2024-04-15 14:44:32.726873,782.8269497325714,822.8263533174475,770.4307040177048,796.4041572395516,3881777,796.4041572395516,0.0,1.0
2024-04-16 14:44:32.726873,808.3995520700764,815.5957618635699,784.3134063817803,806.6618641721234,3748996,806.6618641721234,0.0,1.0
2024-04-17 14:44:32.726873,811.6959231996034,850.7007661295087,767.8029349455697,796.7394494455018,1195246,796.7394494455018,0.0,1.0
2024-04-18 14:44:32.726873,797.5899155709706,803.5185101948283,796.7391238420781,796.8536914752864,4696176,796.8536914752864,0.0,1.0
2024-04-19 14:44:32.726873,808.2297863980474,824.9853647458159,780.9985124658461,804.067974364012,9899691,804.067974364012,0.0,1.0
2024-04-20 14:44:32.726873,788.7810430960365,792.1471531067851,761.1842346950807,782.6529118391363,2012384,782.6529118391363,0.0,1.0
2024-04-21 14:44:32.726873,783.2470810005553,823.7849588783403,750.4926209670541,784.6738985979466,9143478,784.6738985979466,0.0,1.0
2024-04-22 14:44:32.726873,800.5012461322241,820.6016327108013,788.2664951077967,796.4375642680299,1866964,796.4375642680299,0.0,1.0
2024-04-23 14:44:32.726873,794.740802759597,818.3996410903954,779.9382428190673,792.069490994458,9437712,792.069490994458,0.0,1.0
2024-04-24 14:44:32.726873,818.4025904339054,821.1473685764988,774.0950055674035,805.4776381611176,1863663,805.4776381611176,0.0,1.0
2024-04-25 14:44:32.726873,778.9667132878543,823.1429293451952,743.226982240491,793.3922867173153,6783182,793.3922867173153,0.0,1.0
2024-04-26 14:44:32.726873,781.5785472825082,796.7622431239022,769.0928027154986,788.4868530965372,7980571,788.4868530965372,0.0,1.0
2024-04-27 14:44:32.726873,832.130461709257,869.495378234871,803.2835491501955,817.4037404364683,6334538,817.4037404364683,0.0,1.0
2024-04-28 14:44:32.726873,813.1250789755258,821.4652882939229,771.5344555099301,800.62685237975,7349449,800.62685237975,0.0,1.0
2024-04-29 14:44:32.726873,802.2717182173102,811.3600200001655,800.3006795002881,803.6972600688573,2206861,803.6972600688573,0.0,1.0
2024-04-30 14:44:32.726873,792.702820038556,794.1514712772888,755.4248339668886,788.911858797206,4119612,788.911858797206,0.0,1.0
